Longitude,Latitude,SourceID,January,February,March,April,May,June,July,August,September,October,November,December
-82.588224,34.301529,01WS006GG01,0,0,0,0,0,0,0,0,0,0,0,0
-82.583155,34.309947,01WS006GG02,0,0,0,0,0,0,0,0,0,0,0,0
-82.585,34.305525,01WS006GG03,0,0,0,0,0,0,0,0,0,0,0,0
-81.654935,33.452517,02GC011GG01,0,0,0,0,2,2,1,1,1,0,0,0
-81.728431,33.481178,02GC052GG01,0,0,0,0,0,0,0,0,0,0,0,0
-81.725588,33.482083,02GC052GG02,0,0,0,0,0,0,0,0,0,0,0,0
-81.727,33.498,02GC052GG03,0,0,0,0,0,0,0,0,0,0,0,0
-81.49798,33.739406,02GC053GG01,0,0,25,4,8,8,7,5,4,2,1,1
-81.501908,33.738328,02GC053GG02,0,0,10,2,4,5,5,5,2,0,0,0
-81.896555,33.417806,02IN003GG01,5.274,4.885,5.27,4.583,4.352,4.521,4.603,4.735,4.804,4.938,4.676,4.6
-81.896371,33.418879,02IN003GG02,1.334,1.21,0.938,1.296,1.343,1.296,1.339,1.339,1.447,0.94,0.998,0.039
-81.735584,33.339444,02IN012GG01,0.054,0.024,0.012,3.132,2.628,0.0039,0,0.018,0.02976,0.0035,0.015,0.005
-81.739167,33.341944,02IN012GG02,22.32,20.16,22.32,19.4964,20.9781,23.76,22.32,22.32,21.6,22.32,24.192,24.9984
-81.73823,33.331926,02IN012GG06,0.390243,0.369311,0.461714,0.435428,0.303135,0.357485,0.382684,0.372786,0.243732,0.442362,0.413295,0.133989
-81.74014,33.337012,02IN012GG07,1.205074,1.109406,1.334026,1.157062,0.886917,1.058421,1.122463,1.168702,0.885315,1.396407,1.268625,0.42023
-81.739467,33.338442,02IN012GG08,2.375308,2.202304,2.57017,2.181364,1.679752,2.032415,2.186616,2.277315,1.708421,2.696202,2.44859,0.788439
-81.739427,33.335012,02IN012GG09,2.022515,1.861759,2.217086,1.903805,1.455092,1.733219,1.864559,1.940678,1.455481,2.297961,2.082682,0.684793
-81.737215,33.335642,02IN012GG10,2.012929,1.859507,2.233503,1.905408,1.450495,1.733648,1.78406,1.853059,1.446731,2.271832,2.072539,0.686027
-81.733033,33.333108,02IN012GG11,0.794841,0.739636,0.850772,0.720764,0.604445,0.727849,0.787414,0.819652,0.5992,0.942959,0.834107,0.267191
-81.734577,33.331819,02IN012GG12,1.564808,1.450347,0.155951,1.768931,1.1626,1.3846,1.469608,1.522927,1.141783,1.803001,1.633025,0.547526
-81.740181,33.328492,02IN012GG13,0.605824,1.779561,1.7,1.587572,1.621572,1.640301,1.757519,1.818725,1.769434,1.769434,1.806676,0.635181
-81.736344,33.338224,02IN012GG14,0,0,0,0,0,0,0,0,0,0,0,0
-81.737938,33.330063,02IN012GG15,1.780076,1.601428,1.942418,1.629697,1.213021,0.728799,0.78136,1.822159,1.360272,2.135949,1.938065,0.640992
-81.737852,33.339938,02IN012GG16,0,0,0,0,0,0,0,0,0,0,0,0
-81.733629,33.340181,02IN012GG17,0,0,0,0,0,0,0,0,0,0,0,0
-81.736221,33.347798,02IN012GG19,0,0,0,0,0,0,0,0,0,0,0,0
-81.731451,33.347079,02IN012GG20,0,0,0,0,0,0,0,0,0,0,0,0
-81.731501,33.34707,02IN012GG21,0,0,0,0,0,0,0,0,0,0,0,0
-81.733781,33.347544,02IN012GG22,0,0,0,0,0,0,0,0,0,0,0,0
-81.733799,33.347596,02IN012GG23,0,0,0,0,0,0,0,0,0,0,0,0
-81.733769,33.35125,02IN012GG24,0,0,0,0,0,0,0,0,0,0,0,0
-81.743441,33.328486,02IN012GG25,0,0,0,0,0,0,0,0,0,0,0,0
-81.7358,33.330136,02IN012GG26,2.775223,2.584648,1.489099,0,2.0141,2.472204,2.635905,2.751241,2.049922,3.195384,2.873582,0.883594
-81.673333,33.282778,02IN013GG01,0.021,0.011,3.65,0.228,1.428,0.003,0,0.003,0.005,0.21,0.018,0.038
-81.673495,33.284626,02IN013GG04,0,0,0,0,0,0,0,0,0,0,0,0
-81.684167,33.362778,02IN014GG01,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008
-81.684444,33.363056,02IN014GG02,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
-81.6425,33.28719,02IN015GG04,0.612,0,8.232,8.64,8.928,8.64,5.652,1.86,0.012,0,0,0.196
-81.6425,33.294444,02IN017GG01,0.195,0.443,0.533,0.839,0.823,0.137,0.225,0.137,0.1123,0.168,0.059,0
-81.638333,33.293611,02IN017GG02,0.918,0.483,0.862,0.787,1.811,3.74,4.627,2.4703,1.777,1.338,1.135,1.068
-81.761944,33.211944,02IN018GG01,1.349992,1.451504,1.13832,1.1016,1.13832,1.313272,1.13832,2.408356,1.524944,1.985008,1.524944,1.13832
-81.838167,33.640269,02IN021GG01,0.027,0.03,0.047,0.066,0.078,0.08,0.274,0.171,0.122,0.041,0.017,0.007
-81.640385,33.307183,02IN022GG01,0,0,0,0,0,0,0,0,0,0,2.07514,9.674979
-81.639962,33.307512,02IN022GG03,0,0,0,0,0,0,0,0,0,0,1.442704,6.345654
-81.695092,33.58988,02IN023GG01,0.363,0.295,0.445,0.43,0.442,0.251,0.392,0.439,0.402,0.445,0.431,0.286
-81.694644,33.59046,02IN023GG02,1.141,0.923,1.395,1.353,1.396,0.924,1.185,1.382,1.259,1.395,1.351,0.896
-81.694179,33.591058,02IN023GG03,1.036,0.839,1.266,1.266,1.267,0.843,1.117,1.255,1.145,1.266,1.226,0.813
-81.693745,33.591608,02IN023GG04,0.36,0.527,1.457,0.813,0.456,0.258,0.403,0.445,0.41,0.452,0.436,0.288
-81.691151,33.589283,02IN023GG05,1.241,1.005,1.521,1.469,1.521,0.988,1.345,1.503,1.375,1.522,1.476,0.979
-81.690422,33.590487,02IN023GG06,0.929,0.753,1.134,1.058,1.133,0.73,0.956,1.066,0.956,1.086,1.036,0.714
-81.69003,33.588538,02IN023GG07,1.181,0.957,0.349,0.822,0,0.46,0.111,1.46,1.332,1.475,1.429,0.949
-81.689482,33.589433,02IN023GG08,0.362,0.294,0.444,0.489,0.535,0.182,0.475,0.53,0.488,0.535,0.519,0.344
-81.688629,33.590852,02IN023GG09,0.331,0.264,0.381,0.381,0.394,0.132,0.353,0.393,0.361,0.402,0.39,0.259
-81.683911,33.587679,02IN023GG10,0.725,0.589,0.891,0.857,0.89,0.592,0.791,0.885,0.806,0.891,0.862,0.572
-81.8,33.302778,02IR004GG01,0,0,0,4.984,9.968,19.936,19.936,9.968,4.984,0,0,0
-81.791954,33.290113,02IR004GG02,0,0,0,4.5456,13.6368,13.6368,27.2736,4.5456,0,0,0,0
-81.627464,33.828778,02IR011GG03,0.0252,0.0555,0.081,0.1778,0.268,0.428,0.42,0.54,0.53,0.399,0.057,0.01
-81.627614,33.828394,02IR011GG05,0.0252,0.0555,0.081,0.1778,0.268,0.428,0.42,0.54,0.53,0.399,0.057,0.01
